type,price,station,beds,baths,receptions,post_code,location
semi-detached,260000.0,0.5,3,0,0,SK2,stockport
terraced,335000.0,1.4,2,1,2,BL7,bolton
flat,300000.0,0.1,1,0,0,M3,manchester
detached,259950.0,2.9,3,2,2,OL4,oldham
detached,1600000.0,,5,4,3,BL2,lancashire
terraced,190000.0,1.6,3,1,2,M14,manchester
terraced,225000.0,0.1,2,1,0,M19,manchester
end terrace,245000.0,0.6,3,1,2,SK15,stalybridge
flat,90000.0,0.3,2,1,1,BL4,manchester
semi-detached,290000.0,0.5,4,2,2,SK15,stalybridge
flat,376000.0,0.2,2,2,1,M3,salford
semi-detached,169995.0,0.2,2,1,1,BL5,bolton
flat,360000.0,0.4,2,2,1,M15,manchester
flat,335000.0,0.2,2,2,1,M3,salford
flat,275000.0,0.2,2,1,1,M3,manchester
semi-detached,190000.0,0.4,3,1,1,SK6,manchester
semi-detached,340000.0,,4,2,2,OL6,ashtonunderlyne
semi-detached,129950.0,,3,1,1,WN2,wigan
terraced,190000.0,1.3,3,1,2,BL1,bolton
semi-detached,120000.0,1.2,3,2,1,BL3,bolton
flat,145000.0,0.6,1,1,1,M5,salford
end terrace,260000.0,0.5,4,2,2,SK3,manchester
terraced,190000.0,,2,1,1,BL8,bury
semi-detached,195000.0,1.4,4,1,2,WN3,wigan
detached,500000.0,1.6,3,1,3,M33,manchester
flat,85000.0,1.2,2,1,1,WN4,wigan
flat,199950.0,,1,1,1,BL0,bury
terraced,70000.0,2.6,3,1,1,WN7,wigan
terraced,135000.0,1.6,3,1,1,M38,manchester
terraced,135000.0,1.7,3,1,1,M38,manchester
flat,150000.0,0.7,1,1,0,M5,manchester
flat,90000.0,0.6,1,1,1,M60,manchester
flat,177495.0,0.9,1,1,0,M50,manchester
flat,159990.0,0.3,1,1,0,M32,manchester
terraced,230000.0,0.6,3,0,0,M15,manchester
semi-detached,165000.0,0.3,2,1,1,BL5,bolton
detached,274950.0,1.0,3,1,1,BL6,bolton
flat,124995.0,0.5,1,1,0,M4,manchester
flat,150000.0,0.3,1,1,1,M32,manchester
flat,140000.0,0.3,1,1,1,M32,manchester
flat,130000.0,0.3,1,1,1,M32,manchester
flat,120000.0,0.3,1,1,0,M32,manchester
flat,135000.0,0.7,1,1,1,M5,manchester
flat,140000.0,0.5,1,1,1,M5,salford
flat,140000.0,0.3,1,1,0,M1,manchester
flat,140000.0,0.3,1,1,1,M2,manchester
flat,142495.0,0.9,1,1,0,M50,manchester
flat,145000.0,0.3,1,1,1,M1,manchester
flat,146000.0,0.8,1,1,0,M7,salford
flat,149995.0,0.9,1,1,1,M50,manchester
flat,150000.0,0.6,1,1,1,M4,manchester
flat,150000.0,0.3,1,1,1,M1,manchester
flat,150000.0,0.9,1,1,1,M50,manchester
flat,150000.0,0.4,1,1,1,M5,salford
detached,450000.0,1.9,4,0,0,M29,manchester
flat,240000.0,1.4,2,2,1,M33,sale
flat,120000.0,0.2,1,1,1,SK2,stockport
flat,325000.0,0.4,2,2,1,M4,manchester
semi-detached,245000.0,0.8,3,1,2,WN4,wigan
detached,530000.0,0.4,4,3,2,SK4,stockport
detached,575000.0,0.8,4,2,2,M41,manchester
terraced,230000.0,,2,1,1,BL9,bury
terraced,150000.0,0.3,3,1,2,SK15,stalybridge
semi-detached,200000.0,0.8,3,1,1,M34,manchester
flat,125000.0,0.2,2,1,1,M44,manchester
semi-detached,210000.0,2.9,3,1,2,OL4,oldham
detached,350000.0,0.2,4,2,2,SK14,manchester
flat,80000.0,0.2,2,1,0,WN3,wigan
flat,100000.0,1.1,2,1,1,M38,manchester
flat,170000.0,0.5,1,1,1,M5,salford
semi-detached,525000.0,0.4,4,1,2,M32,manchester
terraced,105000.0,0.8,2,1,1,WN2,wigan
end terrace,125000.0,,2,1,2,M27,manchester
terraced,135000.0,1.3,3,1,0,M38,manchester
terraced,55000.0,0.8,2,1,1,WN5,wigan
flat,115000.0,0.3,2,1,1,M28,manchester
semi-detached,240000.0,0.9,3,1,2,WN1,wigan
terraced,90000.0,0.7,3,1,2,WN2,wigan
flat,283000.0,0.4,2,2,1,M16,manchester
flat,210000.0,0.4,2,1,0,M4,manchester
flat,360000.0,0.8,3,0,0,M5,salford
flat,195000.0,0.8,2,2,1,M5,salford
flat,190000.0,0.8,1,1,1,M5,salford
detached,420000.0,0.6,4,1,1,M28,manchester
terraced,250000.0,,4,1,2,OL6,ashtonunderlyne
flat,95000.0,,2,1,1,BL8,manchester
semi-detached,170000.0,1.5,3,1,1,BL3,manchester
flat,132995.0,0.7,1,1,0,M5,manchester
flat,269950.0,0.8,2,2,0,M5,manchester
flat,140000.0,0.3,2,2,1,M40,manchester
detached,241995.0,1.6,3,2,1,WN8,lancashire
detached,242995.0,1.7,3,2,1,WN8,lancashire
detached,294995.0,1.6,4,2,1,WN8,lancashire
detached,294995.0,1.6,4,1,2,WN8,lancashire
flat,80000.0,0.5,1,1,1,M9,manchester
terraced,265000.0,0.3,2,1,2,M41,manchester
flat,180000.0,0.2,1,1,1,M1,manchester
flat,150000.0,1.3,2,2,1,M16,manchester
terraced,145000.0,,2,0,0,BL8,lancashire
semi-detached,240000.0,1.4,3,1,2,BL4,bolton
end terrace,190000.0,2.7,3,2,2,OL8,oldham
end terrace,87500.0,2.0,2,1,1,WN2,wigan
semi-detached,390000.0,0.7,4,2,2,M27,manchester
semi-detached,220000.0,1.8,3,1,2,BL2,bolton
flat,232000.0,0.6,2,2,0,M16,manchester
terraced,150000.0,0.8,2,1,2,M6,manchester
semi-detached,180000.0,2.1,3,1,2,WN7,manchester
semi-detached,199995.0,2.2,3,1,1,M29,manchester
semi-detached,350000.0,0.6,3,1,2,SK5,manchester
detached,250000.0,,4,2,1,M26,manchester
detached,250000.0,0.8,3,2,2,WN3,wigan
flat,85000.0,0.4,2,1,1,M46,manchester
flat,334950.0,0.3,2,2,0,M4,manchester
terraced,75000.0,0.8,4,2,2,WN8,lancashire
semi-detached,210000.0,0.9,2,1,1,BL3,bolton
detached,320000.0,,4,1,2,BL2,bolton
semi-detached,210000.0,,3,2,1,M6,manchester
terraced,135000.0,1.1,2,1,2,SK14,manchester
detached,260000.0,2.2,3,3,1,WN6,wigan
terraced,185000.0,0.8,3,1,2,M30,manchester
semi-detached,280000.0,0.4,3,2,2,M43,manchester
semi-detached,290000.0,3.8,3,1,1,WN7,leigh
detached,375000.0,1.0,4,3,3,M46,manchester
terraced,200000.0,1.1,3,1,2,OL11,rochdale
end terrace,595000.0,,3,1,2,WA14,cheshire
flat,599950.0,,2,2,2,WA14,cheshire
flat,1200000.0,,3,3,3,WA14,cheshire
flat,675000.0,,2,2,2,WA14,cheshire
terraced,395000.0,,2,1,2,WA14,altrincham
flat,440000.0,0.6,3,2,0,WA14,cheshire
detached,688950.0,,3,2,2,WA14,cheshire
detached,679950.0,,3,2,2,WA14,cheshire
semi-detached,350000.0,0.2,3,2,3,M41,manchester
flat,385000.0,0.8,2,2,0,WA14,cheshire
flat,89950.0,,1,1,1,WA15,cheshire
semi-detached,525000.0,,3,2,3,WA15,cheshire
detached,699950.0,,3,2,2,WA14,cheshire
detached,2000000.0,,5,5,3,WA14,cheshire
flat,450000.0,,2,2,2,WA14,cheshire
flat,100000.0,,1,1,1,WA14,cheshire
detached,2750000.0,,5,4,4,WA15,cheshire
detached,2350000.0,,5,4,4,WA14,cheshire
semi-detached,525000.0,,4,2,2,WA14,cheshire
semi-detached,400000.0,,3,1,2,WA15,altrincham
end terrace,595000.0,,3,2,2,WA15,cheshire
terraced,345000.0,,3,3,3,WA15,cheshire
flat,350000.0,,2,1,1,WA14,cheshire
semi-detached,575000.0,,3,1,3,WA15,cheshire
end terrace,585000.0,0.3,3,1,2,WA15,cheshire
flat,565000.0,,3,2,2,WA14,cheshire
semi-detached,465000.0,1.4,3,4,2,M33,sale
flat,215000.0,1.9,2,1,1,M33,sale
flat,139950.0,1.7,1,0,0,M33,sale
semi-detached,275000.0,1.3,2,1,1,M33,sale
semi-detached,350000.0,1.7,3,1,2,M33,cheshire
flat,189950.0,1.9,2,2,1,M33,sale
end terrace,325000.0,2.0,3,1,1,M33,sale
flat,67500.0,1.0,1,1,1,M33,sale
end terrace,210000.0,0.6,2,1,2,M32,manchester
flat,169950.0,1.8,2,1,1,M33,cheshire
flat,199950.0,0.4,1,1,1,WA14,altrincham
semi-detached,750000.0,0.2,4,2,0,WA15,cheshire
flat,116950.0,0.3,2,0,0,WA14,altrincham
end terrace,260000.0,0.6,1,1,1,WA15,cheshire
flat,425000.0,0.3,3,2,1,WA14,altrincham
flat,242500.0,0.5,2,2,2,WA14,cheshire
flat,250000.0,0.5,2,2,1,WA14,cheshire
flat,174975.0,0.3,2,2,1,WA14,altrincham
detached,895000.0,0.9,4,2,3,WA15,cheshire
flat,145000.0,0.3,1,1,1,WA14,altrincham
flat,275000.0,0.3,2,2,2,WA14,altrincham
flat,225000.0,0.3,1,1,1,WA15,cheshire
flat,250000.0,0.3,2,2,1,WA14,cheshire
flat,212500.0,0.3,3,2,1,WA14,altrincham
flat,185000.0,0.2,1,1,1,WA14,altrincham
flat,215000.0,0.4,2,2,1,WA14,cheshire
flat,180000.0,0.2,1,1,1,WA14,cheshire
flat,235000.0,0.1,2,2,1,WA14,altrincham
flat,215000.0,0.4,2,2,1,WA14,cheshire
flat,184950.0,0.4,2,1,1,WA14,cheshire
flat,219950.0,0.4,1,1,1,M5,manchester
flat,210000.0,0.7,2,2,1,M5,manchester
flat,145000.0,0.8,2,1,1,M7,salford
flat,220000.0,0.7,2,1,1,M50,manchester
flat,155000.0,0.5,2,1,1,M15,manchester
detached,550000.0,1.2,5,2,2,M9,manchester
flat,290000.0,0.1,2,2,1,M1,manchester
flat,185000.0,0.2,2,2,1,M3,salford
end terrace,289950.0,0.6,4,2,2,M5,manchester
flat,269950.0,0.4,2,2,0,M5,manchester
flat,270000.0,0.6,2,2,1,M5,manchester
flat,279950.0,0.1,2,2,1,M1,manchester
flat,350000.0,0.1,2,2,1,M1,manchester
flat,155000.0,0.5,2,2,1,M3,manchester
flat,100000.0,0.2,1,1,1,M3,manchester
flat,165000.0,0.2,1,1,1,M1,manchester
flat,775000.0,0.1,4,3,1,M3,manchester
flat,560000.0,0.4,2,2,1,M2,manchester
flat,142000.0,0.3,1,1,1,M4,manchester
flat,385000.0,0.4,2,2,1,M1,manchester
flat,105000.0,0.2,1,1,1,M3,salford
flat,140000.0,0.3,1,1,1,M1,manchester
flat,160000.0,0.8,2,1,1,M7,salford
flat,385000.0,0.3,2,2,1,M3,manchester
flat,875000.0,0.3,2,3,2,M1,manchester
flat,190000.0,0.6,2,2,1,M15,manchester
flat,75000.0,0.4,1,1,1,M50,manchester
flat,360000.0,0.1,2,1,1,M1,manchester
flat,199950.0,0.3,1,1,1,M1,manchester
flat,289950.0,0.3,2,2,1,M1,manchester
flat,385000.0,0.4,2,1,1,M2,manchester
flat,360000.0,0.1,2,1,1,M1,manchester
flat,135000.0,0.3,1,1,1,M4,manchester
flat,245000.0,0.6,2,2,1,M5,manchester
flat,399950.0,0.1,2,2,1,M1,manchester
flat,194950.0,0.1,1,1,1,M1,manchester
flat,120000.0,0.2,1,1,1,M3,manchester
flat,199950.0,0.1,2,2,1,M15,manchester
flat,135000.0,0.9,2,2,1,M7,manchester
flat,239950.0,0.1,2,1,1,M1,manchester
flat,169950.0,0.4,1,1,1,M4,manchester
flat,185000.0,0.4,1,1,1,M3,manchester
flat,345000.0,0.1,2,1,1,M1,manchester
detached,194950.0,0.5,3,1,1,M27,manchester
semi-detached,160000.0,1.8,3,1,2,M35,manchester
semi-detached,250000.0,,3,1,2,M6,manchester
terraced,235000.0,0.3,3,1,1,M30,manchester
end terrace,350000.0,0.7,3,1,2,SK4,stockport
semi-detached,250000.0,1.0,3,1,0,M20,manchester
flat,539950.0,0.3,3,2,0,M4,manchester
flat,421605.0,0.1,2,2,1,M1,manchester
flat,170000.0,2.0,2,2,2,BL1,bolton
semi-detached,190000.0,3.7,3,1,2,OL2,manchester
semi-detached,170000.0,,3,1,2,M26,manchester
semi-detached,275000.0,3.5,3,1,2,WN7,leigh
terraced,160000.0,0.1,4,1,2,SK5,manchester
detached,475000.0,0.7,4,2,1,M28,manchester
terraced,150000.0,0.5,3,1,2,SK15,manchester
detached,290000.0,1.1,4,2,2,WN4,lancashire
flat,100000.0,0.7,1,1,1,M20,manchester
semi-detached,260000.0,,3,1,2,M43,manchester
terraced,80000.0,,3,1,2,WN2,wigan
terraced,130000.0,0.4,2,1,1,M18,manchester
end terrace,195000.0,,4,1,2,BL1,bolton
flat,195000.0,0.8,2,2,1,M5,salford
flat,190000.0,0.8,1,1,1,M5,salford
flat,360000.0,0.8,3,0,0,M5,salford
flat,210000.0,0.4,2,1,0,M4,manchester
flat,283000.0,0.4,2,2,1,M16,manchester
detached,375000.0,,4,2,3,BL2,bolton
flat,219950.0,0.5,1,1,1,SK7,stockport
semi-detached,275000.0,,3,1,3,BL8,bury
detached,439999.0,0.5,4,2,3,M41,manchester
detached,270000.0,1.2,3,3,2,WN4,wigan
flat,210000.0,0.5,1,1,1,M15,manchester
terraced,525000.0,0.4,4,2,2,WA14,cheshire
detached,380000.0,1.7,4,0,0,BL6,bolton
terraced,149950.0,0.6,2,1,1,M12,manchester
terraced,110000.0,,2,1,1,OL6,manchester
terraced,150000.0,,2,1,1,M45,manchester
semi-detached,240000.0,0.4,3,1,0,M34,manchester
flat,230000.0,0.3,1,1,1,M3,manchester
flat,140000.0,0.3,1,1,1,WA14,altrincham
semi-detached,450000.0,0.4,4,3,3,M30,manchester
flat,150000.0,0.9,2,2,1,SK8,manchester
flat,130000.0,1.0,1,1,1,M15,manchester
flat,250000.0,1.2,2,1,1,M20,manchester
end terrace,220000.0,0.9,3,1,2,SK3,manchester
end terrace,210000.0,1.0,2,1,1,M22,manchester
semi-detached,220000.0,0.9,3,1,2,M43,manchester
semi-detached,135000.0,0.7,3,0,0,M30,manchester
detached,575000.0,,5,2,3,BL8,bury
semi-detached,150000.0,1.2,3,1,0,M43,manchester
detached,314995.0,0.9,4,1,3,WN8,lancashire
flat,380000.0,0.2,2,2,1,M15,manchester
semi-detached,180000.0,1.8,3,1,1,M23,manchester
semi-detached,300000.0,1.9,3,1,2,BL7,bolton
semi-detached,250000.0,0.6,3,1,2,M27,manchester
flat,92700.0,0.5,1,1,0,BL1,bolton
terraced,159995.0,,2,1,1,BL8,bury
semi-detached,300000.0,0.2,3,1,2,M19,manchester
flat,210000.0,0.4,2,1,0,M4,manchester
flat,283000.0,0.4,2,2,1,M16,manchester
flat,360000.0,0.8,3,0,0,M5,salford
flat,195000.0,0.8,2,2,1,M5,salford
flat,190000.0,0.8,1,1,1,M5,salford
detached,440000.0,2.0,4,1,2,OL3,oldham
semi-detached,475000.0,1.0,3,1,2,BL3,bolton
flat,189995.0,0.3,1,1,0,M3,salford
semi-detached,260000.0,,3,1,2,M27,manchester
flat,225500.0,0.6,2,2,0,M16,manchester
semi-detached,230000.0,0.9,3,1,1,SK1,manchester
detached,250000.0,1.1,3,1,2,M40,manchester
end terrace,110000.0,2.6,2,0,0,WN7,leigh
flat,95000.0,3.0,2,1,1,WN7,manchester
terraced,150000.0,2.3,2,1,1,OL4,oldham
semi-detached,180000.0,,3,1,1,OL11,rochdale
flat,150000.0,0.3,2,2,1,WN3,wigan
semi-detached,280000.0,0.6,4,0,0,SK14,manchester
end terrace,335000.0,1.3,2,0,0,BL7,bolton
detached,965000.0,0.8,5,2,3,SK7,stockport
end terrace,280000.0,,4,1,3,BL1,bolton
semi-detached,165000.0,1.2,3,1,2,OL12,rochdale
flat,71250.0,,2,1,1,WA14,altrincham
flat,58738.0,,1,1,1,WA14,altrincham
flat,64688.0,,1,1,1,WA14,altrincham
detached,525000.0,1.7,4,2,2,BL2,bolton
terraced,89950.0,2.9,2,1,1,WN7,manchester
semi-detached,200000.0,0.3,2,1,1,SK2,stockport
terraced,125000.0,0.1,3,1,0,M18,manchester
flat,90000.0,0.5,1,1,1,SK7,manchester
semi-detached,269950.0,1.8,3,1,2,BL3,bolton
terraced,120000.0,1.4,3,1,1,BL3,bolton
semi-detached,155000.0,,3,1,1,WN2,wigan
end terrace,275000.0,,3,3,2,BL7,lancashire
flat,215000.0,0.5,1,1,1,M15,manchester
semi-detached,250000.0,,3,1,1,M6,manchester
semi-detached,220000.0,0.9,3,1,1,WN1,wigan
semi-detached,375000.0,0.6,5,4,2,BL2,bolton
terraced,135000.0,,3,1,0,M30,manchester
end terrace,110000.0,0.8,3,2,1,WN8,skelmersdale
flat,358000.0,0.1,2,2,1,M1,manchester
flat,90000.0,,1,1,1,M26,manchester
end terrace,335000.0,1.3,2,1,1,BL7,bolton
flat,160000.0,0.7,1,2,1,M16,manchester
terraced,81500.0,,2,1,2,WN1,wigan
semi-detached,115000.0,2.2,3,1,2,WN7,wigan
end terrace,120000.0,1.1,2,1,1,M11,manchester
flat,140000.0,0.7,1,1,1,M5,salford
flat,150000.0,1.9,2,2,0,M33,sale
semi-detached,350000.0,0.9,3,2,2,M28,manchester
flat,250000.0,0.9,1,1,0,M17,manchester
flat,190000.0,0.0,2,2,1,M3,manchester
flat,190000.0,0.0,2,2,1,M3,manchester
semi-detached,425000.0,,2,3,3,M27,manchester
flat,190000.0,0.5,2,2,1,BL6,manchester
flat,210000.0,0.3,1,1,1,M3,manchester
semi-detached,260000.0,0.3,3,1,1,SK3,stockport
terraced,350000.0,0.7,2,1,1,SK12,stockport
flat,595900.0,0.2,3,2,1,WA14,altrincham
flat,375000.0,0.2,2,2,0,M15,manchester
semi-detached,175000.0,0.8,3,2,2,WN1,wigan
terraced,225000.0,,3,1,3,M45,manchester
flat,160000.0,0.3,2,1,1,SK5,stockport
flat,145000.0,0.7,1,1,1,M5,salford
terraced,139950.0,1.5,2,1,1,BL1,bolton
detached,350000.0,0.8,4,2,2,SK14,manchester
semi-detached,350000.0,,3,1,2,M27,manchester
semi-detached,250000.0,1.3,3,1,2,M28,manchester
terraced,135000.0,,2,1,1,OL5,ashtonunderlyne
detached,314995.0,0.9,4,2,2,WN8,skelmersdale
flat,80000.0,2.6,2,2,1,WN7,leigh
semi-detached,139500.0,1.1,3,4,1,WN4,wigan
detached,240000.0,1.3,3,1,1,M40,manchester
flat,283000.0,0.4,2,2,1,M16,manchester
flat,360000.0,0.8,3,0,0,M5,salford
flat,195000.0,0.8,2,2,1,M5,salford
flat,190000.0,0.8,1,1,1,M5,salford
flat,275000.0,,3,1,1,M26,manchester
terraced,80000.0,1.0,2,1,1,WN8,lancashire
flat,210000.0,0.4,2,1,0,M4,manchester
semi-detached,160000.0,0.3,2,2,0,M30,manchester
flat,125000.0,1.7,1,1,1,M33,manchester
flat,139405.0,0.7,1,1,1,M5,manchester
flat,140414.0,0.7,1,1,1,M5,manchester
flat,170000.0,0.7,1,1,1,M5,manchester
flat,194738.0,0.7,2,1,1,M5,manchester
flat,208873.0,0.7,2,1,1,M5,manchester
flat,242181.0,0.7,2,1,1,M5,manchester
flat,274106.0,0.7,3,1,1,M5,manchester
flat,324373.0,0.7,3,1,1,M5,manchester
flat,721424.0,0.7,3,1,1,M5,manchester
flat,154000.0,1.1,1,1,0,M40,manchester
flat,156000.0,0.6,1,1,1,M5,salford
flat,156000.0,0.6,1,1,1,M5,salford
flat,156000.0,0.6,1,1,1,M5,salford
flat,160000.0,0.6,1,1,0,M16,manchester
flat,160000.0,0.4,1,1,1,M5,manchester
flat,160000.0,0.5,1,1,1,M5,salford
flat,160000.0,0.3,1,1,1,M1,manchester
flat,163000.0,0.8,2,2,0,M7,salford
flat,165000.0,0.6,1,1,0,M16,manchester
flat,170000.0,0.6,1,1,1,M4,manchester
flat,150000.0,0.7,1,1,1,M4,manchester
flat,184000.0,0.8,2,2,0,M7,salford
semi-detached,350000.0,,4,1,2,M25,manchester
terraced,195000.0,1.4,3,2,1,M14,manchester
terraced,279999.0,0.3,2,1,1,M41,manchester
terraced,140000.0,0.4,2,1,1,BL4,manchester
terraced,140000.0,2.2,2,1,2,WN7,manchester
end terrace,365000.0,1.6,3,1,2,M22,manchester
detached,900000.0,0.3,4,4,2,SK12,stockport
detached,240000.0,,3,1,2,OL2,manchester
terraced,130000.0,1.3,2,2,1,WN2,wigan
terraced,110000.0,1.5,2,1,1,OL9,oldham
detached,1000000.0,0.8,4,3,3,WA14,altrincham
terraced,200000.0,0.5,2,1,0,SK3,stockport
flat,145000.0,1.9,2,1,0,M33,sale
terraced,150000.0,,2,1,1,BL4,bolton
flat,100000.0,0.5,1,1,0,M16,manchester
end terrace,130000.0,0.5,3,1,2,BL6,bolton
terraced,260000.0,,3,3,1,M27,manchester
detached,275000.0,,4,2,1,M26,manchester
flat,330000.0,0.3,2,2,1,M3,manchester
detached,535000.0,,4,1,2,M27,manchester
semi-detached,170000.0,0.6,2,1,0,SK5,stockport
terraced,110000.0,,2,1,1,BL1,bolton
terraced,170000.0,0.9,2,1,2,M6,salford
semi-detached,230000.0,0.5,3,1,1,M5,salford
flat,155000.0,0.3,1,1,1,SK5,stockport
terraced,130000.0,0.5,3,1,1,WN2,wigan
flat,270000.0,0.4,3,2,1,M3,salford
terraced,380000.0,,5,2,3,BL9,manchester
semi-detached,600000.0,1.3,5,2,2,M28,manchester
semi-detached,350000.0,,5,2,3,M25,manchester
semi-detached,260000.0,1.2,3,1,2,BL5,bolton
flat,105000.0,,2,2,1,M26,manchester
semi-detached,245000.0,,3,1,1,BL8,bury
flat,188950.0,0.3,1,1,0,M3,salford
detached,325000.0,0.1,3,1,1,M41,manchester
terraced,270000.0,,3,2,3,BL7,manchester
flat,99950.0,3.0,2,1,1,WN7,manchester
detached,314995.0,0.9,4,1,2,WN8,skelmersdale
detached,350000.0,0.5,3,1,2,M44,manchester
semi-detached,140000.0,,3,1,2,BL4,manchester
semi-detached,250000.0,,3,2,3,BL2,bolton
terraced,80000.0,2.3,2,1,1,WN7,leigh
flat,150000.0,,2,1,1,M27,manchester
terraced,160000.0,,2,1,1,M27,manchester
semi-detached,325000.0,0.3,3,1,1,M32,manchester
flat,256000.0,0.1,1,1,0,M3,manchester
terraced,90000.0,2.5,2,1,1,WN8,skelmersdale
flat,120000.0,0.3,2,2,1,SK14,manchester
flat,115000.0,0.2,1,1,0,SK6,stockport
flat,175000.0,0.3,1,2,1,M3,salford
semi-detached,419999.0,0.2,3,2,2,M32,manchester
semi-detached,175000.0,2.5,3,1,2,WN8,skelmersdale
detached,490000.0,1.6,4,1,2,BL6,bolton
flat,160000.0,0.1,2,1,1,M3,salford
flat,283000.0,0.4,2,2,1,M16,manchester
flat,360000.0,0.8,3,0,0,M5,salford
flat,195000.0,0.8,2,2,1,M5,salford
flat,190000.0,0.8,1,1,1,M5,salford
flat,210000.0,0.4,2,1,0,M4,manchester
terraced,125000.0,0.9,2,1,2,WN6,wigan
terraced,185000.0,1.7,2,1,2,M29,manchester
flat,125000.0,0.3,2,2,1,SK14,manchester
terraced,216950.0,0.6,2,1,0,M5,salford
detached,460000.0,,3,4,2,BL9,bury
semi-detached,300000.0,,3,1,1,SK15,manchester
semi-detached,125000.0,,2,1,1,WN3,wigan
flat,82950.0,0.7,1,1,1,BL5,bolton
semi-detached,180000.0,,2,1,1,M27,manchester
end terrace,494950.0,0.6,4,1,0,M4,manchester
terraced,190000.0,2.3,2,1,1,M23,manchester
semi-detached,145000.0,0.8,3,1,1,BL4,bolton
semi-detached,210000.0,,3,1,2,BL2,bolton
flat,125000.0,4.0,2,1,1,BL0,manchester
detached,325000.0,0.4,3,3,1,SK14,hyde
flat,220000.0,0.4,2,2,1,WA14,altrincham
end terrace,215000.0,4.6,3,0,0,BL0,lancashire
terraced,170000.0,,2,0,0,M45,lancashire
flat,80000.0,,1,1,1,M24,manchester
detached,540000.0,1.9,4,2,1,M33,sale
flat,250000.0,0.9,2,2,0,M50,manchester
flat,170000.0,0.4,1,1,0,M4,manchester
semi-detached,250000.0,,3,1,2,M27,manchester
detached,400000.0,0.8,4,2,2,WN2,wigan
flat,275000.0,1.1,2,2,0,M20,manchester
flat,110000.0,0.7,2,1,1,WN5,wigan
terraced,160000.0,0.2,2,1,1,SK6,stockport
terraced,150000.0,0.4,3,1,1,M27,manchester
semi-detached,200000.0,0.5,3,1,3,M30,manchester
semi-detached,350000.0,,4,3,2,M30,manchester
terraced,444950.0,0.6,3,1,0,M4,manchester
semi-detached,70000.0,,3,1,2,BL2,bolton
end terrace,214950.0,,3,2,1,OL5,ashtonunderlyne
detached,435000.0,1.5,5,3,1,M29,manchester
detached,500000.0,1.9,4,3,3,M28,manchester
flat,210000.0,0.4,2,1,0,M4,manchester
terraced,450000.0,0.5,3,1,2,SK4,stockport
flat,190000.0,0.8,1,1,1,M5,salford
flat,195000.0,0.8,2,2,1,M5,salford
flat,283000.0,0.4,2,2,1,M16,manchester
detached,425000.0,1.0,4,3,1,WN6,wigan
flat,350000.0,0.3,2,2,1,M4,manchester
detached,450000.0,0.4,4,2,1,M12,manchester
flat,110000.0,,2,1,1,BL7,manchester
flat,90000.0,,2,1,1,M24,manchester
flat,230000.0,0.3,2,1,1,M3,manchester
semi-detached,240000.0,,3,1,0,BL2,bolton
flat,224950.0,0.8,2,2,0,M5,manchester
semi-detached,227000.0,0.5,3,1,1,BL5,bolton
flat,160000.0,,2,2,0,M30,manchester
flat,130000.0,,1,1,0,M30,manchester
terraced,330000.0,1.6,3,1,1,M33,manchester
detached,700000.0,1.4,5,2,3,SK15,stalybridge
detached,285000.0,2.0,3,2,2,WN8,skelmersdale
detached,270000.0,,3,2,2,BL1,bolton
terraced,220000.0,0.3,2,1,1,SK6,manchester
flat,130000.0,0.6,1,0,0,SK1,stockport
semi-detached,205000.0,1.0,3,2,1,BL6,bolton
semi-detached,325000.0,1.6,3,1,1,M33,sale
terraced,400000.0,0.6,4,2,2,M27,manchester
flat,130000.0,1.0,1,0,0,BL6,lancashire
semi-detached,300000.0,0.7,3,1,2,M40,manchester
flat,160000.0,0.5,2,2,1,M3,manchester
detached,200000.0,1.4,2,1,1,M29,manchester
flat,130000.0,0.2,1,1,1,SK3,stockport
terraced,180000.0,0.3,3,1,2,M18,manchester
terraced,119950.0,2.6,2,1,1,WN7,lancashire
flat,176000.0,0.3,1,1,0,M3,salford
terraced,150000.0,1.4,3,1,1,SK15,stalybridge
flat,189950.0,0.2,1,1,1,M1,manchester
terraced,190000.0,0.3,3,1,2,OL7,ashtonunderlyne
flat,120000.0,,2,1,1,OL11,rochdale
flat,300000.0,0.4,2,1,1,M50,salford
detached,329995.0,1.0,4,4,0,BL5,bolton
detached,329995.0,1.0,4,3,0,BL5,bolton
detached,250000.0,,3,2,1,M26,manchester
semi-detached,300000.0,0.7,3,1,2,SK4,manchester
detached,1050000.0,,5,2,4,BL7,bolton
semi-detached,375000.0,1.8,3,2,1,M28,manchester
semi-detached,195000.0,0.8,3,1,2,BL6,bolton
end terrace,165000.0,1.6,3,1,1,BL1,bolton
terraced,319950.0,0.5,3,3,3,SK2,manchester
flat,90000.0,2.2,2,0,0,WN2,lancashire
semi-detached,150000.0,1.1,2,1,2,BL3,bolton
semi-detached,424995.0,2.9,3,2,2,M26,manchester
semi-detached,175000.0,1.9,2,1,1,OL8,oldham
flat,180000.0,0.3,2,2,1,M27,manchester
flat,194950.0,0.3,1,1,0,M3,salford
terraced,145000.0,0.5,2,1,2,SK3,stockport
flat,325000.0,0.3,2,0,0,M3,manchester
flat,320000.0,0.0,1,0,0,M15,manchester
flat,350000.0,0.2,2,0,0,M4,manchester
semi-detached,300000.0,1.2,3,1,2,SK2,manchester
flat,255000.0,0.3,1,1,1,M4,manchester
flat,155000.0,0.4,1,1,1,M3,salford
detached,425000.0,0.4,4,1,2,SK12,stockport
